Time,IAT,Lux,OCC,SAP,DAT,RAD,OAT
2015-05-11 23:00:00,26.8339633942,20.4952381563,0.0,1.10653412342,25.1373615265,0.0,8.79067325592
2015-05-11 23:15:00,26.8339633942,20.4952381563,0.0,1.10653412342,25.1373615265,0.0,8.75171232224
2015-05-11 23:30:00,26.6764144897,20.4952381563,0.0,1.10653412342,25.1373615265,0.0,8.72405052185
2015-05-11 23:45:00,26.6370277405,20.4952381563,0.0,1.10653412342,25.1373615265,0.0,8.62161064147
2015-05-12 00:00:00,26.6370277405,20.4952381563,0.0,1.10653412342,25.1047534943,0.0,8.59003257751
2015-05-12 00:15:00,26.6370277405,20.4952381563,0.0,1.10653412342,25.0763111115,0.0,8.63887596131
2015-05-12 00:30:00,26.6370277405,20.4952381563,0.0,1.10653412342,25.0763111115,0.0,8.58957290649
2015-05-12 00:45:00,26.6370277405,20.4952381563,0.0,1.10653412342,25.0763111115,0.0,8.6682972908
2015-05-12 01:00:00,26.6370277405,20.4952381563,0.0,1.10653412342,25.0152626038,0.0,8.71905517578
2015-05-12 01:15:00,26.6370277405,20.4952381563,0.0,1.10653412342,25.0152626038,0.0,8.80453395843
2015-05-12 01:30:00,26.6370277405,20.4952381563,0.0,1.10653412342,24.9542121887,0.0,8.82173156738
2015-05-12 01:45:00,26.6370277405,20.4952381563,0.0,1.10653412342,24.9542121887,0.0,8.82821369171
2015-05-12 02:00:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.9542121887,0.0,8.68712806702
2015-05-12 02:15:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.8931617737,0.0,8.60182476044
2015-05-12 02:30:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.8931617737,0.0,8.74009895325
2015-05-12 02:45:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.8535308838,0.0,8.89412260056
2015-05-12 03:00:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.8321113586,0.0,8.93383026123
2015-05-12 03:15:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.8321113586,0.0,9.06593322754
2015-05-12 03:30:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.8321113586,0.0,9.07843589783
2015-05-12 03:45:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.8321113586,0.0,9.18803405762
2015-05-12 04:00:00,26.4400920868,20.4952381563,0.0,1.10653412342,24.8321113586,0.0,9.3101348877
2015-05-12 04:15:00,26.2431564331,20.4952381563,0.0,1.10653412342,24.8321113586,0.0,9.38773107529
2015-05-12 04:30:00,26.2431564331,20.4952381563,0.0,1.10653412342,24.8098621368,0.0,9.72254657745
2015-05-12 04:45:00,26.2431564331,20.4952381563,0.0,1.10653412342,24.8028964996,0.0,9.77740383148
2015-05-12 05:00:00,26.2431564331,20.4952381563,0.0,1.10653412342,24.7710609436,0.0,9.69463920593
2015-05-12 05:15:00,26.2431564331,20.4952381563,0.0,1.10653412342,24.7710609436,0.0,9.8312292099
2015-05-12 05:30:00,26.2431564331,20.4952381563,0.0,1.10653412342,24.7710609436,0.0,9.82645606995
2015-05-12 05:45:00,26.2431564331,20.4952381563,0.0,1.10653412342,24.7710609436,0.0,10.3273992539
2015-05-12 06:00:00,26.2431564331,20.4952381563,0.0,1.10653412342,24.7100124359,0.0,10.477853775
2015-05-12 06:15:00,26.2431564331,20.4952381563,0.0,1.10653412342,22.482416153,0.0,10.5993871689
2015-05-12 06:30:00,26.021604538,20.4952381563,0.0,1.10653412342,19.7039070129,0.0,10.7753372192
2015-05-12 06:45:00,26.021604538,20.4952381563,0.0,1.10653412342,22.6343097687,0.0,11.1816616058
2015-05-12 07:00:00,26.021604538,24.6993905926,0.0,1.10653412342,23.5500602722,0.0,11.5934038162
2015-05-12 07:15:00,26.021604538,22.5973150158,0.0,1.10653412342,23.9774112701,0.0,11.9277443886
2015-05-12 07:30:00,26.021604538,41.5159952069,0.0,1.10653412342,24.209400177,0.0,12.3626327515
2015-05-12 07:45:00,26.021604538,55.1794890213,1.0,1.10653412342,24.4658107758,0.0,12.8329162598
2015-05-12 08:00:00,26.021604538,48.873262291,0.0,2.91245937347,22.5732593536,0.0,13.2865934372
2015-05-12 08:15:00,26.021604538,50.9753378678,0.0,1.10653412342,18.7118434906,0.0,14.0942926407
2015-05-12 08:30:00,26.021604538,71.7333367539,1.0,1.41178441048,19.5690040588,0.0,14.7890062332
2015-05-12 08:45:00,26.021604538,65.4271100235,0.0,2.73219203949,19.9481067657,0.0,15.7176847458
2015-05-12 09:00:00,26.021604538,79.3533581543,1.0,2.64920520782,18.4065933228,0.0,16.4047145844
2015-05-12 09:15:00,25.8246688843,80.141639061,0.0,2.58338665962,18.2844944,0.0,17.1638154984
2015-05-12 09:30:00,25.8246688843,116.665204773,0.0,1.10653412342,18.2532367706,0.0,19.4749679565
2015-05-12 09:45:00,25.8246688843,135.846652108,1.0,1.10653412342,19.0323562622,0.0,20.5442552567
2015-05-12 10:00:00,26.021604538,109.83346428,0.0,2.74035739899,20.6807079315,0.0,21.8090744019
2015-05-12 10:15:00,26.021604538,86.4478657913,0.0,1.10653412342,18.223443985,0.0,21.5340642929
2015-05-12 10:30:00,26.021604538,148.196338424,0.0,1.10653412342,19.4597072601,0.0,21.994146347
2015-05-12 10:45:00,26.021604538,87.7616604614,1.0,1.10653412342,22.4511585236,0.0,21.34034729
2015-05-12 11:00:00,26.021604538,85.6595848847,0.0,1.10653412342,23.8418312073,0.0,22.0390701294
2015-05-12 11:15:00,26.021604538,136.109408989,0.0,2.54952096939,22.1321239471,0.0,22.6571435929
2015-05-12 11:30:00,26.021604538,158.969483451,0.0,1.10653412342,18.3455429077,0.0,23.0979671478
2015-05-12 11:45:00,26.021604538,140.313560142,0.0,1.10653412342,21.4133090973,0.0,22.8285617829
2015-05-12 12:00:00,26.021604538,136.109408989,0.0,1.10653412342,23.1837596893,0.0,22.7880935669
2015-05-12 12:15:00,26.021604538,60.4346779633,0.0,1.10653412342,23.9163608551,0.0,21.7893476486
2015-05-12 12:30:00,26.2185401917,175.260564041,0.0,1.10653412342,24.2382164001,0.0,21.959066391
2015-05-12 12:45:00,26.2185401917,96.1699627686,1.0,1.10653412342,24.343711853,0.0,21.9145307541
2015-05-12 13:00:00,26.2185401917,146.357029991,0.0,3.23073840141,24.238609314,0.0,22.9037780762
2015-05-12 13:15:00,26.2185401917,195.755806046,0.0,1.18524384499,18.4065933228,0.0,22.975159645
2015-05-12 13:30:00,26.2185401917,111.935539856,0.0,1.10653412342,18.5796890259,0.0,22.6495742798
2015-05-12 13:45:00,26.4154758453,227.549717102,0.0,1.10653412342,22.023809433,0.0,23.0359020233
2015-05-12 14:00:00,26.4154758453,207.317211456,0.0,1.10653412342,23.6845855713,0.0,22.9300918579
2015-05-12 14:15:00,26.4154758453,93.0168494034,0.0,1.10653412342,24.343711853,0.0,21.9956035614
2015-05-12 14:30:00,26.612411499,158.181202545,0.0,1.10653412342,24.5879116058,0.0,21.0421619415
2015-05-12 14:45:00,26.612411499,153.714294509,1.0,1.40162205696,24.7372055054,0.0,20.0276021957
2015-05-12 15:00:00,26.3908596039,29.9545795345,1.0,23.055688858,17.8673858643,0.0,19.4879169464
2015-05-12 15:15:00,25.7508163452,29.9545795345,1.0,45.0384712219,16.8803424835,0.0,19.0542650223
2015-05-12 15:30:00,25.5538806915,20.4952381563,1.0,23.9973278046,16.8085823059,0.0,17.9792404175
2015-05-12 15:45:00,25.1600093842,20.4952381563,0.0,23.3066234589,16.9413928986,0.0,17.5502977371
2015-05-12 16:00:00,24.9401473999,101.425151711,0.0,24.8204746246,16.8192920685,0.0,17.9160709381
2015-05-12 16:15:00,24.7486171722,23.6483528042,0.0,24.8276615143,16.9413928986,0.0,17.2637987137
2015-05-12 16:30:00,24.7486171722,19.4442003679,0.0,10.4734477997,16.9413928986,0.0,16.5020179749
2015-05-12 16:45:00,24.7486171722,19.4442003679,0.0,10.6267623901,17.0322303772,0.0,15.7368383408
2015-05-12 17:00:00,24.7486171722,19.4442003679,0.0,11.2068805695,17.0024433136,0.0,15.2930374146
2015-05-12 17:15:00,24.7486171722,19.4442003679,0.0,10.7380428314,17.1587944031,0.0,15.5852537155
