Date/Time,C38130:Zone Outdoor Air Drybulb Temperature [C](TimeStep),OCCU,C38130:Zone Windows Total Transmitted Solar Radiation Energy [J](TimeStep),C38130:Daylighting Reference Point 1 Illuminance [lux](TimeStep),C38130:Zone Mean Air Temperature [C](TimeStep),C38130:Zone Air Heat Balance Surface Convection Rate [W](TimeStep),ZoneCO2,VAV_SYSTEM SUPPLY FAN OUTLET:System Node Temperature [C](TimeStep),VAV_SYSTEM SUPPLY FAN OUTLET:System Node Pressure [Pa](TimeStep),SupplyFlow,SupplyCO2
 07/29  23:35:00,17.898375,0,0,0,21.20705716,250.1158266,420.0078711,12.80022485,99953.0819,1.57E-02,420.0078646
 07/29  23:40:00,17.898375,0,0,0,21.19394373,249.5513776,420.0069394,12.80022173,99952.78412,1.57E-02,420.0069336
 07/29  23:45:00,17.898375,0,0,0,21.18106279,248.989762,420.006118,12.80021918,99952.48634,1.57E-02,420.0061128
 07/29  23:50:00,17.898375,0,0,0,21.16838693,248.4339193,420.0053938,12.80021708,99952.18856,1.57E-02,420.0053893
 07/29  23:55:00,17.898375,0,0,0,21.15589809,247.8857325,420.0047554,12.80021535,99951.89078,1.57E-02,420.0047514
 07/29  24:00:00,17.898375,0,0,0,21.14358763,247.345346,420.0041926,12.80021394,99951.59299,1.57E-02,420.004189
 07/30  00:05:00,17.91504167,0,0,0,21.13230296,246.7290299,420.0036964,12.80021102,99951.29521,1.57E-02,420.0036932
 07/30  00:10:00,17.93170833,0,0,0,21.12212062,245.9799915,420.003259,12.8002092,99950.99743,1.57E-02,420.0032561
 07/30  00:15:00,17.948375,0,0,0,21.1126392,245.1465676,420.0028734,12.80020696,99950.69965,1.57E-02,420.0028708
 07/30  00:20:00,17.96504167,0,0,0,21.10350038,244.2943442,420.0025334,12.80020472,99950.40187,1.57E-02,420.0025311
 07/30  00:25:00,17.98170833,0,0,0,21.094557,243.4549208,420.0022337,12.80020275,99950.10409,1.57E-02,420.0022317
 07/30  00:30:00,17.998375,0,0,0,21.08579836,242.6316543,420.0019695,12.80020116,99949.8063,1.57E-02,420.0019677
 07/30  00:35:00,18.01504167,0,0,0,21.07724568,241.8188986,420.0017366,12.80019993,99949.50852,1.57E-02,420.0017349
 07/30  00:40:00,18.03170833,0,0,0,21.0689055,241.0128585,420.0015312,12.80019899,99949.21074,1.57E-02,420.0015297
 07/30  00:45:00,18.048375,0,0,0,21.06076885,240.2129373,420.0013501,12.80019829,99948.91296,1.57E-02,420.0013488
 07/30  00:50:00,18.06504167,0,0,0,21.0528229,239.4198225,420.0011904,12.80019777,99948.61518,1.57E-02,420.0011893
 07/30  00:55:00,18.08170833,0,0,0,21.0450575,238.6339498,420.0010497,12.8001974,99948.3174,1.57E-02,420.0010486
 07/30  01:00:00,18.098375,0,0,0,21.03746565,237.8552484,420.0009256,12.80019716,99948.01961,1.57E-02,420.0009247
